Facility Name,CMS Certification Number (CCN),City,Total Performance Score,PY2020 Payment Reduction Percentage,"Ownership as of December 31, 2018"
FMC SKYWAY,442691,SWEETWATER,68,0.00%,FRESENIUS MEDICAL CARE
CAPELVILLE DIALYSIS CENTER,442692,MEMPHIS,38,1.50%,DAVITA
FMC MILLINGTON,442693,MILLINGTON,57,0.50%,FRESENIUS MEDICAL CARE
SATELLITE HEALTHCARE OF POPLAR AVENUE LLC,442694,MEMPHIS,52,0.50%,NOT A CHAIN
NRA-MEMPHIS (SOUTH),442695,MEMPHIS,71,0.00%,NOT A CHAIN
RIPLEY DIALYSIS CENTER,442696,RIPLEY,62,0.00%,DAVITA
RAI GALLATIN,442698,GALLATIN,31,1.50%,DIVERSIFIED SPECIALTY INSTITUTES (DSI)
NASHVILLE HOME TRAINING DIALYSIS,442699,NASHVILLE,44,1.00%,DAVITA
KINGSTON DIALYSIS,442700,KINGSTON,57,0.50%,NOT A CHAIN
FMC EAST MEMPHIS HOME THERAPIES,442701,MEMPHIS,51,0.50%,FRESENIUS MEDICAL CARE
FMC MT MORIAH DIALYSIS,442702,MEMPHIS,53,0.50%,FRESENIUS MEDICAL CARE
FMC BARTLETT,442703,MEMPHIS,53,0.50%,FRESENIUS MEDICAL CARE
MEMPHIS MIDTOWN DIALYSIS,442704,MEMPHIS,64,0.00%,DAVITA
RAI LEBANON,442705,LEBANON,57,0.50%,FRESENIUS MEDICAL CARE
FMC CEDAR BLUFF,442707,KNOXVILLE,51,0.50%,FRESENIUS MEDICAL CARE
DAVITA SPARTA,442708,SPARTA,68,0.00%,DAVITA
DAVITA WOLF RIVER DIALYSIS,442709,CORDOVA,35,1.50%,DAVITA
DAVITA STATE LINE,442710,MEMPHIS,48,1.00%,DAVITA
ISD BARTLETT LLC,442711,MEMPHIS,72,0.00%,DAVITA
FMC HENDERSONVILLE,442712,HENDERSONVILLE,58,0.50%,FRESENIUS MEDICAL CARE
KIDNEY CENTER OF HWY 58,442713,CHATTANOOGA,52,0.50%,NOT A CHAIN
DAVITA SOUTH JACKSON,442714,JACKSON,46,1.00%,DAVITA
"TOTAL RENAL CARE, INC.",442715,ETOWAH,87,0.00%,DAVITA
"SANDLIN DIALYSIS, LLC",442716,GREENEVILLE,61,0.00%,DAVITA
"DIALYSIS ASSOCIATE, LLC",442717,ANTIOCH,63,0.00%,FRESENIUS MEDICAL CARE
"BIO-MEDICAL APPLICATIONS OF TENNESSEE, INC.",442718,MEMPHIS,44,1.00%,FRESENIUS MEDICAL CARE
"KIDNEY CENTER OF MISSIONARY RIDGE, LLC",442719,CHATTANOOGA,77,0.00%,"KIDNEY CENTER, INC."
"FRESENIUS MEDICAL CARE BARTLETT HOME, LLC",442720,CORDOVA,30,1.50%,FRESENIUS MEDICAL CARE
TANNOR DIALYSIS LLC,442721,KNOXVILLE,38,1.50%,DAVITA
DSI MEMPHIS LLC,442722,MEMPHIS,62,0.00%,DIVERSIFIED SPECIALTY INSTITUTES (DSI)
"BIO-MEDICAL APPLICATIONS OF TENNESSEE, INC.",442723,KNOXVILLE,59,0.00%,FRESENIUS MEDICAL CARE
FMC SUMMER,442724,MEMPHIS,61,0.00%,FRESENIUS MEDICAL CARE
"DIALYSIS CLINIC, INC. - WAVERLY",442725,WAVERLY,60,0.00%,"DIALYSIS CLINIC, INC."
EAST TENNESSEE DIALYSIS CENTER,442726,MARYVILLE,0,2.00%,NOT A CHAIN
"SATELLITE HEALTHCARE SOUTH GERMANTOWN, LLC",442727,MEMPHIS,56,0.50%,SATELLITE DIALYSIS
BIO-MEDICAL APPLICATIONS OF TENNESSEE,442728,KNOXVILLE,68,0.00%,FRESENIUS MEDICAL CARE
"SATELLITE HEALTHCARE CHICKASAW GARDENS, LLC",442730,MEMPHIS,47,1.00%,SATELLITE HEALTHCARE
BIO-MEDICAL APPLICTIONS OF TENNESSEE INC,442731,MEMPHIS,51,0.50%,FRESENIUS MEDICAL CARE
WELLBOUND OF MEMPHIS LLC,442732,MEMPHIS,41,1.00%,SATELLITE HEALTHCARE
"TOTAL RENAL CARE, INC.",442733,MEDINA,66,0.00%,DAVITA
"BIO-MEDICAL APPLICATIONS OF TENNESSEE, INC",442734,BRISTOL,48,1.00%,FRESENIUS MEDICAL CARE
"FMC SOUTH AIRWAYS, LLC",442735,MEMPHIS,28,2.00%,FRESENIUS MEDICAL CARE
SRS-NASHVILLE HH LLC,442736,NASHVILLE,25,2.00%,NOT A CHAIN
"TOTAL RENAL CARE, INC",442737,COOKEVILLE,82,0.00%,DAVITA
ISD RENAL INC,442738,MOUNT JULIET,77,0.00%,DAVITA
"BIO-MEDICAL APPLICATIONS OF TENNESSEE, INC",442739,MEMPHIS,50,0.50%,FRESENIUS MEDICAL CARE
"DESCHUTES DIALYSIS, LLC",442740,MEMPHIS,63,0.00%,DAVITA
DIALYSIS CARE CENTER CROSSVILLE LLC,442741,CROSSVILLE,31,1.50%,NOT A CHAIN
"RAVALLI DIALYSIS, LLC",442742,CLARKSVILLE,54,0.50%,DAVITA
TOTAL RENAL CARE INC,442743,NASHVILLE,47,1.00%,DAVITA
"TOTAL RENAL CARE, INC",442744,MADISON,50,0.50%,DAVITA
VANDERBILT UNIVERSITY MEDICAL CENTER,442745,NASHVILLE,33,1.50%,OTHER
DIALYSIS CARE CENTER TIPTON COUNTY LLC,442746,COVINGTON,44,1.00%,NOT A CHAIN
"HECKSCHER DIALYSIS, LLC",442747,GERMANTOWN,65,0.00%,DAVITA
UNIV OF TEXAS MEDICAL BRANCH,452303,GALVESTON,64,0.00%,STATE OWNED
CHILDREN'S MEMORIAL HERMANN DIALYSIS CENTER,452309,HOUSTON,92,0.00%,MEMORIAL HERMANN HEALTHCARE SYSTEM
TEXAS CHILDRENS HOSPITAL DIALYSIS UNIT,452333,HOUSTON,63,0.00%,NOT A CHAIN
CHILDRENS MEDICAL CENTER DIALYSIS UNIT,452344,DALLAS,43,1.00%,NOT A CHAIN
COOK CHILDRENS MEDICAL CENTER DIALYSIS UNIT,452358,FORT WORTH,50,0.50%,NOT A CHAIN
CHRISTUS CHILDRENS KIDNEY CENTER,452372,SAN ANTONIO,100,0.00%,NOT A CHAIN
WILBARGER GENERAL HOSPITAL DIALYSIS OF VERNON,452374,VERNON,68,0.00%,NOT A CHAIN
REEVES COUNTY HOSPITAL DIALYSIS CENTER,452378,PECOS,82,0.00%,NOT A CHAIN
WISE REGIONAL HEALTH SYSTEM DIALYSIS CENTER,452379,DECATUR,54,0.50%,NOT A CHAIN
CHILDRESS REGIONAL MEDICAL CENTER DIALYSIS,452385,CHILDRESS,78,0.00%,NOT A CHAIN
UNIVERSITY HEALTH SYSTEM CHILDREN'S KIDNEY CENTER,452388,SAN ANTONIO,84,0.00%,STATE OWNED
MIDTOWN KIDNEY CENTER,452500,HOUSTON,49,0.50%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE PD SERVICES OF DALLAS,452501,DALLAS,61,0.00%,FRESENIUS MEDICAL CARE
DIALYSIS CENTER OF LUBBOCK,452506,LUBBOCK,56,0.50%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE WESTOVER HILLS,452507,SAN ANTONIO,55,0.50%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE MCALLEN,452508,MCALLEN,65,0.00%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE NORTH TEXAS,452510,WICHITA FALLS,59,0.00%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE ABILENE,452511,ABILENE,57,0.50%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE PERMIAN BASIN,452512,MIDLAND,79,0.00%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE AMARILLO HIGH PLAINS,452513,AMARILLO,61,0.00%,FRESENIUS MEDICAL CARE
CORPUS CHRISTI DIALYSIS,452514,CORPUS CHRISTI,50,0.50%,DAVITA
VALLEY HEMODIALYSIS CENTER,452517,BROWNSVILLE,62,0.00%,FRESENIUS MEDICAL CARE
SATELLITE HEALTHCARE NORTH LAREDO,452518,LAREDO,64,0.00%,SATELLITE HEALTHCARE
WEST HOUSTON DIALYSIS CENTER,452519,HOUSTON,89,0.00%,FRESENIUS MEDICAL CARE
ISLAND DIALYSIS,452520,GALVESTON,56,0.50%,DAVITA
NNA SAN MARCOS,452522,SAN MARCOS,67,0.00%,FRESENIUS MEDICAL CARE
GOLDEN TRIANGLE DIALYSIS CENTER,452524,BEAUMONT,65,0.00%,RENAL VENTURES MANAGEMENT
FRESENIUS MEDICAL CARE BRAZOS,452526,WACO,54,0.50%,FRESENIUS MEDICAL CARE
"RENAL CENTER OF NORTH DENTON, LLLP",452528,DENTON,50,0.50%,RENAL VENTURES MANAGEMENT
SAN JACINTO DIALYSIS,452530,HOUSTON,58,0.50%,DAVITA
WATSON WISE DIALYSIS CENTER,452532,TYLER,74,0.00%,FRESENIUS MEDICAL CARE
SOUTHEAST KIDNEY CENTER,452533,HOUSTON,52,0.50%,FRESENIUS MEDICAL CARE
ALICE RENAL CENTER,452537,ALICE,63,0.00%,DAVITA
CYPRESS CREEK DIALYSIS,452539,THE WOODLANDS,49,0.50%,FRESENIUS MEDICAL CARE
KIDNEY DISEASE CLINIC OF UVALDE,452540,UVALDE,78,0.00%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE EAGLE PASS,452541,EAGLE PASS,68,0.00%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE ROSENBERG,452542,ROSENBERG,57,0.50%,FRESENIUS MEDICAL CARE
SOUTHSIDE KIDNEY DISEASE CLINIC,452544,SAN ANTONIO,63,0.00%,FRESENIUS MEDICAL CARE
KERRVILLE DIALYSIS,452546,KERRVILLE,68,0.00%,DAVITA
COLLEGE STATION DIALYSIS,452550,BRYAN,56,0.50%,DAVITA
TEXARKANA REGIONAL DIALYSIS,452552,TEXARKANA,54,0.50%,DAVITA
FRESENIUS MEDICAL CARE CORSICANA,452553,CORSICANA,70,0.00%,FRESENIUS MEDICAL CARE
CARTHAGE DIALYSIS CENTER,452556,CARTHAGE,55,0.50%,FRESENIUS MEDICAL CARE
"FRESENIUS MEDICAL CARE SAN ANTONIO, LLC",452557,DEL RIO,91,0.00%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE BROWNWOOD,452559,BROWNWOOD,89,0.00%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE FONDREN,452560,HOUSTON,62,0.00%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE IRVING,452561,IRVING,64,0.00%,FRESENIUS MEDICAL CARE
"FRESENIUS MEDICAL CARE EAST FORT WORTH, LLC",452563,FORT WORTH,39,1.00%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE LUBBOCK,452568,LUBBOCK,66,0.00%,FRESENIUS MEDICAL CARE
LIVE OAK DIALYSIS,452570,LIVE OAK,73,0.00%,DAVITA
SOUTHWEST SAN ANTONIO DIALYSIS CENTER,452571,SAN ANTONIO,54,0.50%,DAVITA
MED CENTER DIALYSIS,452572,HOUSTON,45,1.00%,DAVITA
FRESENIUS MEDICAL CARE NORTH HOUSTON,452574,HOUSTON,53,0.50%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE BAYTOWN DIALYSIS,452575,BAYTOWN,72,0.00%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE SOUTHWEST HOUSTON DIALYSIS CENTER,452576,HOUSTON,53,0.50%,FRESENIUS MEDICAL CARE
RENAL CENTER OF BEAUMONT,452577,BEAUMONT,50,0.50%,RENAL VENTURES MANAGEMENT
US RENAL CARE TARRANT DIALYSIS FORT WORTH,452579,FORT WORTH,48,1.00%,"US RENAL CARE, INC."
US RENAL CARE TARRANT DIALYSIS ARLINGTON,452580,ARLINGTON,39,1.00%,"US RENAL CARE, INC."
FRESENIUS MEDICAL CARE ENNIS,452582,ENNIS,79,0.00%,FRESENIUS MEDICAL CARE
HEB DIALYSIS CENTER,452583,BEDFORD,72,0.00%,DAVITA
HOUSTON DIALYSIS,452584,HOUSTON,60,0.00%,DAVITA
WESLACO DIALYSIS FACILITY,452585,WESLACO,60,0.00%,FRESENIUS MEDICAL CARE
SAN ANTONIO WEST DIALYSIS,452587,SAN ANTONIO,63,0.00%,DAVITA
SOUTH ARLINGTON DIALYSIS CENTER,452592,ARLINGTON,62,0.00%,AMERICAN RENAL ASSOCIATES
FRESENIUS MEDICAL CARE SOUTHWEST FORT WORTH,452594,FORT WORTH,54,0.50%,FRESENIUS MEDICAL CARE
KIDNEY DISEASE CLINIC OF CENTRAL SAN ANTONIO,452595,SAN ANTONIO,53,0.50%,FRESENIUS MEDICAL CARE
MT PLEASANT DIALYSIS CENTER,452598,MOUNT PLEASANT,69,0.00%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE AUSTIN SOUTH,452602,AUSTIN,75,0.00%,FRESENIUS MEDICAL CARE
WEST TEXAS DIALYSIS CENTER,452604,BIG SPRING,77,0.00%,FRESENIUS MEDICAL CARE
SOUTHWEST SAN ANTONIO DIALYSIS,452605,SAN ANTONIO,55,0.50%,DAVITA
CLEAR LAKE KIDNEY CENTER,452609,WEBSTER,51,0.50%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE BELLMEAD,452610,BELLMEAD,85,0.00%,FRESENIUS MEDICAL CARE
PALESTINE DIAYSIS CENTER,452611,PALESTINE,57,0.50%,FRESENIUS MEDICAL CARE
SAGEMONT DIALYSIS,452612,HOUSTON,50,0.50%,DAVITA
KIDNEY TREATMENT CENTER SAN ANTONIO INC,452615,SAN ANTONIO,42,1.00%,NOT A CHAIN
ROSEDALE KIDNEY DISEASE CENTER,452616,SAN ANTONIO,57,0.50%,FRESENIUS MEDICAL CARE
AMERI-TECH KIDNEY CENTER-ARLINGTON LLC,452618,ARLINGTON,44,1.00%,AMERICAN RENAL ASSOCIATES
BAY AREA DIALYSIS CORPUS CHRISTI,452619,CORPUS CHRISTI,63,0.00%,FRESENIUS MEDICAL CARE
BAY AREA DIALYSIS SERVICES AT KINGSVILLE,452620,KINGSVILLE,59,0.00%,FRESENIUS MEDICAL CARE
MIDLAND DIALYSIS,452622,MIDLAND,66,0.00%,DAVITA
STONE OAK DIALYSIS,452623,SAN ANTONIO,52,0.50%,DAVITA
MARSHALL DIALYSIS CENTER,452624,MARSHALL,66,0.00%,DAVITA
NEW BRAUNFELS KIDNEY DISEASE CLINIC,452626,NEW BRAUNFELS,62,0.00%,FRESENIUS MEDICAL CARE
KILLEEN KIDNEY CENTER,452629,KILLEEN,70,0.00%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE CALALLEN,452630,ROBSTOWN,76,0.00%,FRESENIUS MEDICAL CARE
BMA NORTHWEST BEXAR COUNTY,452631,SAN ANTONIO,49,0.50%,FRESENIUS MEDICAL CARE
BAY AREA DIALYSIS SINTON,452633,SINTON,74,0.00%,FRESENIUS MEDICAL CARE
MAINLAND DIALYSIS,452635,LA MARQUE,40,1.00%,DAVITA
SOUTH TEXAS DIALYSIS CENTER,452636,MISSION,66,0.00%,FRESENIUS MEDICAL CARE
US RENAL CARE TARRANT DIALYSIS SOUTH FORT WORTH,452637,BURLESON,47,1.00%,"US RENAL CARE, INC."
BMA SOUTHEAST SAN ANTONIO,452638,SAN ANTONIO,65,0.00%,FRESENIUS MEDICAL CARE
LUFKIN DIALYSIS CENTER,452639,LUFKIN,56,0.50%,DAVITA
FRESENIUS MEDICAL CARE EL PASO GATEWAY,452640,EL PASO,63,0.00%,FRESENIUS MEDICAL CARE
BRENHAM DIALYSIS,452641,BRENHAM,52,0.50%,DAVITA
NORTHWEST KIDNEY CENTER,452642,HOUSTON,69,0.00%,DAVITA
CLEBURNE DIALYSIS CENTER,452644,CLEBURNE,72,0.00%,FRESENIUS MEDICAL CARE
KINGWOOD DIALYSIS CENTER,452646,KINGWOOD,78,0.00%,DAVITA
CHANNELVIEW DIALYSIS,452647,CHANNELVIEW,40,1.00%,DAVITA
RENAL CENTER OF LEWISVILLE,452648,LEWISVILLE,62,0.00%,RENAL VENTURES MANAGEMENT
CENTRAL CITY DIALYSIS,452651,EL PASO,63,0.00%,DAVITA
DIALYSIS CARE OF MCALLEN,452654,MCALLEN,57,0.50%,DAVITA
AMERI-TECH KIDNEY CENTER-BEDFORD LLC,452655,BEDFORD,81,0.00%,AMERICAN RENAL ASSOCIATES
US RENAL CARE TARRANT DIALYSIS TARRANT COUNTY,452656,FORT WORTH,53,0.50%,"US RENAL CARE, INC."
VICTORIA DIALYSIS CENTER,452658,VICTORIA,48,1.00%,DAVITA
FRESENIUS MEDICAL CARE HEREFORD,452660,HEREFORD,70,0.00%,FRESENIUS MEDICAL CARE
LIVINGSTON DIALYSIS CENTER,452661,LIVINGSTON,66,0.00%,DAVITA
HUNTSVILLE DIALYSIS,452663,HUNTSVILLE,48,1.00%,DAVITA
US RENAL CARE RIO GRANDE DIALYSIS,452664,RIO GRANDE CITY,72,0.00%,"US RENAL CARE, INC."
DENISON DIALYSIS CENTER,452665,DENISON,55,0.50%,DAVITA
FRESENIUS MEDICAL CARE RIO GRANDE CITY,452666,RIO GRANDE CITY,78,0.00%,FRESENIUS MEDICAL CARE
OMNI DIALYSIS  CENTER,452667,HOUSTON,65,0.00%,DAVITA
FRESENIUS MEDICAL CARE WEST BEXAR,452668,SAN ANTONIO,67,0.00%,FRESENIUS MEDICAL CARE
LIBERTY DAYTON DIALYSIS FACILITY,452669,LIBERTY,81,0.00%,FRESENIUS MEDICAL CARE
NORTHWEST HOUSTON DIALYSIS CTR,452671,HOUSTON,52,0.50%,FRESENIUS MEDICAL CARE
WESLACO RENAL CENTER,452672,WESLACO,69,0.00%,DAVITA
FRESENIUS MEDICAL CARE TRI CITY,452673,JOURDANTON,70,0.00%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE CLIFFVIEW,452674,EL PASO,50,0.50%,FRESENIUS MEDICAL CARE
NORTHSTAR DIALYSIS CENTER,452675,HOUSTON,36,1.50%,DAVITA
LONE STAR DIALYSIS,452676,HOUSTON,38,1.50%,DAVITA
CENTRAL HOUSTON DIALYSIS,452677,HOUSTON,48,1.00%,DAVITA
NORTH HOUSTON DIALYSIS CENTER,452678,HOUSTON,63,0.00%,DAVITA
BMA DALLAS SOUTH,452679,DALLAS,62,0.00%,FRESENIUS MEDICAL CARE
FARMERS BRANCH DIALYSIS CENTER,452682,FARMERS BRANCH,59,0.00%,FRESENIUS MEDICAL CARE
BMA DALLAS CENTRAL,452684,DALLAS,72,0.00%,FRESENIUS MEDICAL CARE
METRO EAST DIALYSIS CENTER,452685,MESQUITE,77,0.00%,FRESENIUS MEDICAL CARE
COLLIN COUNTY DIALYSIS CENTER,452686,PLANO,52,0.50%,FRESENIUS MEDICAL CARE
SOUTH OAK CLIFF DIALYSIS CENTER,452687,DALLAS,45,1.00%,FRESENIUS MEDICAL CARE
VILLAGE II DIALYSIS CENTER,452688,DALLAS,71,0.00%,FRESENIUS MEDICAL CARE
TRINITY DIALYSIS CENTER,452689,FORT WORTH,47,1.00%,FRESENIUS MEDICAL CARE
TOWN GATE DIALYSIS CENTER,452690,GARLAND,65,0.00%,FRESENIUS MEDICAL CARE
BAY AREA DIALYSIS SERVICES AT ALICE,452692,ALICE,69,0.00%,FRESENIUS MEDICAL CARE
SWISS AVENUE DIALYSIS CENTER,452693,DALLAS,58,0.50%,FRESENIUS MEDICAL CARE
DIALYLSIS CARE OF GREENVILLE,452694,GREENVILLE,69,0.00%,DAVITA
WATERLOO DIALYSIS CENTER,452696,AUSTIN,54,0.50%,DAVITA
FMC SOUTH DALLAS COUNTY,452697,DALLAS,48,1.00%,FRESENIUS MEDICAL CARE
REDBIRD DIALYSIS CENTER,452699,DALLAS,61,0.00%,FRESENIUS MEDICAL CARE
WALNUT HILL DIALYSIS CENTER,452702,DALLAS,59,0.00%,FRESENIUS MEDICAL CARE
BROOKRIVER DIALYSIS,452703,DALLAS,73,0.00%,DAVITA
RELIANT DIALYSIS,452705,HOUSTON,74,0.00%,DAVITA
NORTH LOOP EAST DIALYSIS,452706,HOUSTON,68,0.00%,DAVITA
CIELO VISTA DIALYSIS,452707,EL PASO,79,0.00%,DAVITA
CONROE DIALYSIS,452708,CONROE,53,0.50%,DAVITA
WESTMINSTER DIALYSIS,452709,HOUSTON,57,0.50%,FRESENIUS MEDICAL CARE
NORTHEAST TEXAS DIALYSIS,452710,ATLANTA,61,0.00%,DAVITA
NNA - NORTH,452711,AUSTIN,60,0.00%,FRESENIUS MEDICAL CARE
MISSION KIDNEY CENTER,452714,MISSION,72,0.00%,FRESENIUS MEDICAL CARE
DAVITA COASTAL DIALYSIS,452715,CORPUS CHRISTI,51,0.50%,DAVITA
FMC CROWN OF TEXAS,452718,AMARILLO,63,0.00%,FRESENIUS MEDICAL CARE
WEATHERFORD DIALYSIS CENTER,452719,WEATHERFORD,59,0.00%,FRESENIUS MEDICAL CARE
DAVITA  WEST,452720,EL PASO,68,0.00%,DAVITA
GUADALUPE KIDNEY DISEASE CL,452722,SAN ANTONIO,71,0.00%,FRESENIUS MEDICAL CARE
EL MILAGRO DIALYSIS CENTER,452727,AUSTIN,53,0.50%,DAVITA
SPRING BRANCH DIALYSIS,452728,HOUSTON,58,0.50%,DAVITA
CLEVELAND DIALYSIS CENTER,452731,CLEVELAND,36,1.50%,DAVITA
SATELLITE HEALTHCARE SOUTH LAREDO,452732,LAREDO,64,0.00%,SATELLITE HEALTHCARE
FLORESVILLE DIALYSIS,452733,FLORESVILLE,70,0.00%,DAVITA
DAVITA-GONZALES,452734,GONZALES,91,0.00%,DAVITA
BAY AREA DIALYSIS SOUTHSIDE,452735,CORPUS CHRISTI,58,0.50%,FRESENIUS MEDICAL CARE
UT SOUTHWESTERN - DALLAS DIALYSIS,452736,IRVING,49,0.50%,DAVITA
NRI BROWNSVILLE,452737,BROWNSVILLE,56,0.50%,DAVITA
FMC EAST CENTRAL HOUSTON,452738,HOUSTON,58,0.50%,FRESENIUS MEDICAL CARE
FMC NORTH BUCKNER DIALYSIS CENTER,452739,DALLAS,57,0.50%,FRESENIUS MEDICAL CARE
GAMBRO HEALTHCARE PEARSALL,452740,PEARSALL,76,0.00%,DAVITA
DAVITA - LOMA VISTA DIALYSIS,452741,EL PASO,54,0.50%,DAVITA
DSI BEEVILLE RENAL CENTER,452742,BEEVILLE,68,0.00%,DAVITA
TOMBALL DIALYSIS CENTER,452743,TOMBALL,62,0.00%,DAVITA
LONGVIEW DIALYSIS CENTER,452744,LONGVIEW,46,1.00%,DAVITA
BAYSHORE DIALYSIS CENTER,452745,PASADENA,66,0.00%,FRESENIUS MEDICAL CARE
SOUTH SAN ANTONIO DIALYSIS CENTER,452747,SAN ANTONIO,58,0.50%,DAVITA
RCG PARIS,452748,PARIS,70,0.00%,FRESENIUS MEDICAL CARE
US RENAL CARE EAST EL PASO DIALYSIS,452749,EL PASO,53,0.50%,"US RENAL CARE, INC."
MEDICAL CENTER KIDNEY CLINIC,452750,HOUSTON,56,0.50%,FRESENIUS MEDICAL CARE
DSI RIVERSIDE RENAL CENTER,452751,CORPUS CHRISTI,40,1.00%,DAVITA
NORTHEAST FT WORTH DIALYSIS CT,452752,HALTOM CITY,73,0.00%,FRESENIUS MEDICAL CARE
FALLS COUNTY KIDNEY CENTER,452753,MARLIN,93,0.00%,FRESENIUS MEDICAL CARE
"TEXAS CITY DIALYSIS, LP",452754,TEXAS CITY,43,1.00%,OTHER
DAVITA - MEMORIAL DIALYSIS CENTER,452755,HOUSTON,69,0.00%,DAVITA
SNG - SANDCASTLE DIALYSIS CENTER,452757,TEXAS CITY,64,0.00%,OTHER
DAVITA MESA VISTA DIALYSIS,452758,EL PASO,52,0.50%,DAVITA
FRESENIUS MEDICAL CARE PAMPA,452760,PAMPA,72,0.00%,FRESENIUS MEDICAL CARE
KATY DIALYSIS CENTER,452761,KATY,68,0.00%,DAVITA
CYFAIR DIALYSIS CENTER,452762,HOUSTON,57,0.50%,DAVITA
"RENAL CENTER OF PORT ARTHUR, LLC",452763,PORT ARTHUR,49,0.50%,RENAL VENTURES MANAGEMENT
NRI - EDINBURG,452764,EDINBURG,59,0.00%,DAVITA
US RENAL CARE MEDINA COUNTY DIALYSIS,452765,HONDO,73,0.00%,"US RENAL CARE, INC."
FRESENIUS MEDICAL CARE EDINBURG KIDNEY CENTER,452767,EDINBURG,71,0.00%,FRESENIUS MEDICAL CARE
FRESENIUS KIDNEY CARE TRAILBLAZER LLC,452768,CROCKETT,63,0.00%,FRESENIUS MEDICAL CARE
HILL COUNTRY DIALYSIS,452769,KYLE,60,0.00%,DAVITA
ALVIN DIALYSIS CENTER,452772,ALVIN,44,1.00%,FRESENIUS MEDICAL CARE
UT SOUTHWESTERN - OAKCLIFF DIALYSIS,452773,DALLAS,62,0.00%,DAVITA
RENAL TREATMENT CENTER SOUTHEAST LP,452774,SHERMAN,51,0.50%,DAVITA
FOURTH STREET DIALYSIS,452776,LONGVIEW,58,0.50%,DAVITA
FMC - ALAMO CITY DIALYSIS,452777,SAN ANTONIO,71,0.00%,FRESENIUS MEDICAL CARE
FT BEND DIALYSIS CTR,452778,MISSOURI CITY,54,0.50%,FRESENIUS MEDICAL CARE
NNA - ROUNDROCK,452779,ROUND ROCK,58,0.50%,FRESENIUS MEDICAL CARE
HOUSTON KIDNEY CTR SOUTHWEST,452780,HOUSTON,38,1.50%,DAVITA
FMC - VILLAGE OAKS KIDNEY DISEASE CLINC,452781,LIVE OAK,54,0.50%,FRESENIUS MEDICAL CARE
FMC CARIZZO SPRINGS KIDNEY DISEASE CLINIC,452782,CARRIZO SPRINGS,73,0.00%,FRESENIUS MEDICAL CARE
MONCRIEF DIALYSIS CENTER,452783,AUSTIN,60,0.00%,DAVITA
HOUSTON KIDNEY CENTER CYPRESS STATION,452784,HOUSTON,55,0.50%,DAVITA
WEST TYLER DIALYSIS,452785,TYLER,74,0.00%,FRESENIUS MEDICAL CARE
MISSOURI CITY DIALYSIS,452786,MISSOURI CITY,71,0.00%,FRESENIUS MEDICAL CARE
SPRING DIALYSIS,452787,HOUSTON,43,1.00%,DAVITA
SATELLITE HEALTHCARE KYLE,452788,KYLE,76,0.00%,SATELLITE HEALTHCARE
SATELLITE HEALTHCARE MUELLER,452789,AUSTIN,56,0.50%,SATELLITE DIALYSIS
SATELLITE DIALYSIS METRIC,452790,AUSTIN,50,0.50%,SATELLITE HEALTHCARE
"DCI DIALYSIS CARE SERVICES,INC",452791,NACOGDOCHES,65,0.00%,"DIALYSIS CLINIC, INC."
LUBBOCK DIALYSIS CENTER-REDBUD,452792,LUBBOCK,52,0.50%,FRESENIUS MEDICAL CARE
FMC DIALYSIS SERVICES TERRELL,452793,TERRELL,69,0.00%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE KAUFMAN,452794,KAUFMAN,58,0.50%,FRESENIUS MEDICAL CARE
LOCKEHILL KIDNEY DISEASE CLINIC,452796,SAN ANTONIO,80,0.00%,FRESENIUS MEDICAL CARE
SATELLITE DIALYSIS SOUTHWOOD,452797,AUSTIN,71,0.00%,SATELLITE HEALTHCARE
NEW BRAUNFELS DIALYSIS,452798,NEW BRAUNFELS,67,0.00%,DAVITA
US RENAL CARE TARRANT DIALYSIS CENTRAL FORT WORTH,452799,FORT WORTH,50,0.50%,TARRANT DIALYSIS CENTERS
DAVITA MORGAN AVENUE,452800,CORPUS CHRISTI,58,0.50%,DAVITA
"QUALITY DIALYSIS TWO, INC",452801,STAFFORD,45,1.00%,NOT A CHAIN
"RENAL CENTER OF ORANGE, LLC",452802,ORANGE,65,0.00%,RENAL VENTURES MANAGEMENT
