Provider Number,Facility Name,County,Profit or Non-Profit,Chain Organization,# of Dialysis Stations,Percent of Adult HD patients with Kt/V >= 1.2,Number of adult HD patients with KT/V data,Mortality Rate (Facility),Number of patients included in the transfusion summary,Number of patients in hypercalcemia summary,Number of patient-months in hypercalcemia summary,Number of patients in Serum phosphorus summary,Number of patient-months in Serum phosphorus summary ,Number of patients included in hospitalization summary,No. of hospitalization with hospital readmission summary,Number of Patients included in survival summary,Number of Patients included in fistula summary,Number of patients in long term catheter summary,Number of patient months in long term catheter summary,Number of patients in nPCR summary,Number of patient-months in nPCR summary,PPPW category text,Patient Transfusion category text,Fistula Category Text,Patient Infection category text,Patient Hospital Readmission Category,Patient Survival Category Text,Patient hospitalization category text
442763,DIALYSIS CLINIC INC,UNKNOWN,Non-Profit,"DIALYSIS CLINIC, INC.",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
442900,DIALYSIS CLINIC INC. (CAMP OKAWEHNA),HICKMAN,Non-Profit,"DIALYSIS CLINIC, INC.",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
452303,UNIV OF TEXAS MEDICAL BRANCH,GALVESTON,Non-Profit,STATE OWNED,3,0,1,9.6,17,25,196,25,200,21,15,72,12,12,107,0,0,As Expected,As Expected,Better than Expected,Not Available,As Expected,As Expected,As Expected
422659,FRESENIUS MEDICAL CARE AIKEN,HARTFORD,Profit,FRESENIUS MEDICAL CARE,11,96,43,28.1,24,50,423,51,423,30,30,84,47,47,378,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
422660,DSI TRAVELERS REST DIALYSIS,ANNE ARUNDEL,Profit,"US RENAL CARE, INC.",13,97,50,22.5,41,54,447,55,444,44,63,136,56,56,474,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
422661,DAVITA CYPRESS GARDENS DIALYSIS,SUMTER,Profit,DAVITA,20,97,70,17.4,50,71,657,78,690,56,54,189,76,76,688,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
422662,CLINTON DIALYSIS CLINIC,BALTIMORE,Profit,AMERICAN RENAL ASSOCIATES,20,97,51,27.9,33,64,605,68,626,51,53,167,58,58,528,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
442591,FMC GRACELAND,SHELBY,Profit,FRESENIUS MEDICAL CARE,34,97,121,24.3,81,128,1168,129,1176,95,105,395,128,128,1199,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
452809,US RENAL CARE WEST EL PASO DIALYSIS,EL PASO,Profit,"US RENAL CARE, INC.",16,99,46,30.2,28,47,425,47,443,34,42,164,48,48,447,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
442719,"KIDNEY CENTER OF MISSIONARY RIDGE, LLC",HAMILTON,Profit,"KIDNEY CENTER, INC.",71,98,178,14.3,173,238,2240,242,2316,189,133,690,185,185,1770,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Better than Expected,Better than Expected
442720,"FRESENIUS MEDICAL CARE BARTLETT HOME, LLC",SHELBY,Profit,FRESENIUS MEDICAL CARE,0,83,13,28.6,58,94,810,102,866,68,51,255,26,26,165,0,0,As Expected,As Expected,As Expected,Not Available,As Expected,As Expected,As Expected
442721,DAVITA CAMPBELL STATION DIALYSIS,KNOX,Profit,DAVITA,13,99,24,36.1,28,34,267,41,288,33,33,99,31,31,202,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected
442722,DSI MEMPHIS LLC,SHELBY,Profit,DIVERSIFIED SPECIALTY INSTITUTES (DSI),13,97,60,26.1,45,68,641,68,629,56,52,175,65,65,602,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
442723,"BIO-MEDICAL APPLICATIONS OF TENNESSEE, INC.",KNOX,Profit,FRESENIUS MEDICAL CARE,21,98,53,15.9,41,55,503,58,518,48,54,164,59,59,513,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
452741,DAVITA LOMA VISTA DIALYSIS CENTER,EL PASO,Profit,DAVITA,53,99,312,25.8,276,408,3972,424,4094,307,306,1318,337,337,3239,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
452742,DAVITA BEEVILLE RENAL CENTER,BEE,Profit,DAVITA,21,100,73,28.4,61,77,640,79,658,69,59,275,77,77,641,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
452743,DAVITA TOMBALL DIALYSIS CENTER,HARRIS,Profit,DAVITA,25,98,115,22.3,78,116,1036,119,1050,93,137,421,120,120,1068,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
452744,DAVITA LONGVIEW DIALYSIS CENTER,GREGG,Profit,DAVITA,36,96,162,26.8,218,298,2665,308,2786,242,240,899,200,200,1696,0,0,As Expected,Worse than Expected,As Expected,Worse than Expected,As Expected,As Expected,As Expected
442642,DIALYSIS ASSOC. OF EAST NASHVILLE,DAVIDSON,Profit,FRESENIUS MEDICAL CARE,12,94,58,18.4,40,60,529,63,546,44,53,170,63,63,550,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
452309,CHILDREN'S MEMORIAL HERMANN DIALYSIS CENTER,HARRIS,Non-Profit,MEMORIAL HERMANN HEALTHCARE SYSTEM,7,0,0,0,1,0,0,0,0,9,2,51,0,0,0,16,144,As Expected,Not Available,Not Available,As Expected,Not Available,Not Available,As Expected
452333,TEXAS CHILDRENS HOSPITAL DIALYSIS UNIT,HARRIS,Non-Profit,INDEPENDENT,14,0,4,0,5,6,50,6,50,19,17,79,4,4,41,28,218,Better than Expected,Not Available,Not Available,As Expected,Better than Expected,Not Available,As Expected
452344,CHILDRENS MEDICAL CENTER DIALYSIS UNIT,DALLAS,Non-Profit,INDEPENDENT,19,0,8,6.4,5,14,85,16,93,28,40,111,12,12,73,32,250,As Expected,Not Available,As Expected,As Expected,As Expected,As Expected,As Expected
452358,COOK CHILDRENS MEDICAL CENTER DIALYSIS UNIT,TARRANT,Non-Profit,INDEPENDENT,8,0,0,0,2,2,5,2,9,33,31,115,0,0,0,25,204,As Expected,Not Available,Not Available,Worse than Expected,As Expected,Not Available,As Expected
452639,AQUA DIALYSIS LUFKIN LLC,ANGELINA,Profit, INDEPENDENT,37,98,105,23.1,94,120,1188,125,1187,103,142,439,112,112,1098,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
452640,FRESENIUS MEDICAL CARE EL PASO GATEWAY,EL PASO,Profit,FRESENIUS MEDICAL CARE,20,93,44,23.6,44,61,499,68,516,51,37,187,52,52,387,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
442592,DAVITA SELMER DIALYSIS,MCNAIRY,Profit,DAVITA,10,99,42,20.1,34,43,373,44,387,37,36,161,44,44,374,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
442593,FMC NORTH MEMPHIS,SHELBY,Profit,FRESENIUS MEDICAL CARE,25,98,105,33.1,72,111,1044,116,1087,75,60,345,111,111,1037,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,Worse than Expected,As Expected
442594,DCI SUMMIT,DAVIDSON,Non-Profit,"DIALYSIS CLINIC, INC.",12,99,52,26.7,45,74,539,79,601,51,47,194,59,59,476,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
442595,FMC ATHENS,MCMINN,Profit,FRESENIUS MEDICAL CARE,7,99,34,26.8,31,37,329,40,347,37,31,139,39,39,344,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
442596,DCI LYERLY,HAMILTON,Non-Profit,"DIALYSIS CLINIC, INC.",26,92,58,20.7,44,65,575,66,604,49,44,224,67,67,599,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
402514,FMC HUMACAO DIALYSIS CENTER,HUMACAO,Profit,FRESENIUS MEDICAL CARE,37,100,210,36.8,126,217,2009,227,2102,131,106,524,230,230,2134,0,0,Worse than Expected,As Expected,As Expected,Better than Expected,As Expected,Worse than Expected,As Expected
442724,FMC SUMMER,SHELBY,Profit,FRESENIUS MEDICAL CARE,15,95,62,22.8,42,64,601,66,603,51,54,182,65,65,610,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
452572,DAVITA MED CENTER DIALYSIS,HARRIS,Profit,DAVITA,72,98,265,21.2,213,303,3004,310,3005,238,313,1168,283,283,2728,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
452574,FRESENIUS MEDICAL CARE NORTH HOUSTON,HARRIS,Profit,FRESENIUS MEDICAL CARE,30,97,169,30.2,134,201,1879,208,1929,144,180,603,177,177,1632,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,Worse than Expected,Worse than Expected
452575,FRESENIUS MEDICAL CARE BAYTOWN DIALYSIS,HARRIS,Profit,FRESENIUS MEDICAL CARE,38,99,168,21.4,135,188,1707,201,1785,156,186,647,184,184,1693,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
452576,FRESENIUS MEDICAL CARE SOUTHWEST HOUSTON DIALYSIS CENTER,HARRIS,Profit,FRESENIUS MEDICAL CARE,30,97,128,20.9,111,155,1592,159,1623,123,117,518,135,135,1371,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
442643,FMC PORTLAND,SUMNER,Profit,FRESENIUS MEDICAL CARE,12,93,38,22.6,26,40,336,42,348,32,60,125,42,42,357,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
442644,FMC DIALYSIS FORT SANDERS,KNOX,Profit,FRESENIUS MEDICAL CARE,26,99,115,22.4,79,117,1044,123,1071,97,100,438,125,125,1098,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
442645,DIALYSIS ASSOC. OF MURFREESBORO-HT,RUTHERFORD,Profit,FRESENIUS MEDICAL CARE,8,0,0,22.9,46,70,548,79,588,53,46,201,12,12,54,0,0,As Expected,As Expected,Better than Expected,Not Available,As Expected,As Expected,As Expected
442646,DAVITA RENAL CARE OF MIDTOWN MEMPHIS,SHELBY,Profit,DAVITA,24,97,70,18.8,51,71,619,71,638,53,78,209,71,71,647,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
442647,FMC MEMPHIS GERMANTOWN,SHELBY,Profit,FRESENIUS MEDICAL CARE,24,98,94,21.9,66,94,829,104,873,86,96,336,107,107,889,0,0,As Expected,As Expected,As Expected,Better than Expected,Worse than Expected,As Expected,As Expected
452641,DAVITA BRENHAM DIALYSIS,WASHINGTON,Profit,DAVITA,12,98,57,22.3,55,72,631,79,651,62,73,233,68,68,522,1,1,As Expected,Worse than Expected,As Expected,As Expected,As Expected,As Expected,As Expected
452642,DAVITA NORTHWEST KIDNEY CENTER,HARRIS,Profit,DAVITA,24,99,83,25.8,60,87,819,91,822,69,101,317,92,92,835,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
452644,CLEBURNE DIALYSIS CENTER,JOHNSON,Profit,FRESENIUS MEDICAL CARE,20,98,90,18.7,64,92,944,93,959,71,82,300,95,95,962,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
452645,BAY AREA DIALYSIS SERVICES AT ARANSAS PASS,SAN PATRICIO,Profit,FRESENIUS MEDICAL CARE,16,100,43,28.4,0,43,43,47,47,0,3,125,47,47,47,0,0,As Expected,Not Available,As Expected,Not Available,Not Available,As Expected,Not Available
452646,DAVITA VALLEY RANCH DIALYSIS,HARRIS,Profit,DAVITA,20,98,78,19.1,63,80,634,82,643,66,52,255,81,81,650,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
402515,FMC RIO PIEDRAS DIALYSIS CENTER,SAN JUAN,Profit,FRESENIUS MEDICAL CARE,34,98,217,33.7,159,267,2587,279,2688,183,223,786,239,239,2318,0,0,As Expected,Worse than Expected,Worse than Expected,Better than Expected,As Expected,Worse than Expected,As Expected
402517,FMC WEST PONCE DIALICENTRO,PONCE,Profit,FRESENIUS MEDICAL CARE,30,99,164,28.8,120,185,1895,197,1953,129,137,559,184,184,1789,0,0,Worse than Expected,Worse than Expected,Worse than Expected,As Expected,As Expected,Worse than Expected,As Expected
402518,FMC VEGA BAJA RENAL DC,VEGA BAJA,Profit,FRESENIUS MEDICAL CARE,41,98,173,38.0,125,200,1828,203,1915,144,167,589,187,187,1756,0,0,As Expected,Worse than Expected,As Expected,Better than Expected,As Expected,Worse than Expected,Worse than Expected
402519,ATLANTIS RENAL CENTRE OF AGUADILLA,AGUADILLA,Profit,ATLANTIS HEALTHCARE GROUP,25,100,109,42.8,60,126,1179,129,1230,68,68,389,118,118,1097,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected
422552,DCI UNION,UNION,Non-Profit,"DIALYSIS CLINIC, INC.",25,99,55,29.2,43,57,517,60,528,49,41,214,61,61,533,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
452577,DAVITA RENAL CENTER OF BEAUMONT,JEFFERSON,Profit,RENAL VENTURES MANAGEMENT,25,97,144,24.0,127,166,1640,178,1658,137,129,532,164,164,1500,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
452579,US RENAL CARE TARRANT DIALYSIS FORT WORTH,TARRANT,Profit,"US RENAL CARE, INC.",37,97,220,22.7,147,222,1965,237,2057,165,189,653,244,244,2098,0,0,Worse than Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
452711,NNA - NORTH,TRAVIS,Profit,FRESENIUS MEDICAL CARE,29,96,135,18.4,126,181,1573,191,1633,142,130,582,169,169,1388,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
452714,MISSION KIDNEY CENTER,HIDALGO,Profit,FRESENIUS MEDICAL CARE,20,99,101,17.9,77,104,1023,107,1037,84,101,349,107,107,1029,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
452715,DAVITA COASTAL AT HOME,NUECES,Profit,DAVITA,20,97,124,28.6,104,169,1531,173,1552,118,141,539,133,133,1229,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected
442744,DAVITA BRILEY PARKWAY DIALYSIS,DAVIDSON,Profit,DAVITA,16,98,31,28.2,24,31,251,32,253,26,31,40,30,30,252,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
442745,VANDERBILT UNIVERSITY MEDICAL CENTER,DAVIDSON,Profit,VANDERBILT UNIVERSITY MEDICAL CENTER,0,0,5,20.5,88,143,1139,150,1144,107,103,184,22,22,130,0,0,Better than Expected,Worse than Expected,As Expected,Not Available,As Expected,As Expected,As Expected
442746,DIALYSIS CARE CENTER TIPTON COUNTY LLC,TIPTON,Profit,INDEPENDENT,4,0,7,0,13,23,164,24,157,18,29,29,12,12,84,0,0,As Expected,Not Available,As Expected,Not Available,Worse than Expected,Not Available,Worse than Expected
442747,DAVITA RIVER OAKS DIALYSIS,SHELBY,Profit,DAVITA,17,99,32,32.2,19,32,216,37,250,27,35,34,37,37,253,0,0,As Expected,Not Available,As Expected,As Expected,As Expected,As Expected,As Expected
442748,"DAVITA CAHABA DIALYSIS, LLC",UNKNOWN,Profit,DAVITA,17,99,15,0,9,15,116,15,123,9,17,9,14,14,121,0,0,As Expected,Not Available,As Expected,Not Available,As Expected,Not Available,As Expected
452768,FRESENIUS KIDNEY CARE TRAILBLAZER LLC,HOUSTON,Profit,FRESENIUS MEDICAL CARE,16,97,60,12.2,51,68,624,68,629,53,38,201,63,63,553,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Better than Expected,As Expected
452769,DAVITA HILL COUNTRY DIALYSIS,HAYS,Profit,DAVITA,14,98,55,18.2,43,56,522,57,528,47,59,216,58,58,540,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
452772,ALVIN DIALYSIS CENTER,BRAZORIA,Profit,FRESENIUS MEDICAL CARE,21,93,100,23.6,74,101,873,111,914,84,110,319,111,111,920,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
452773,DAVITA UT SOUTHWESTERN-OAKCLIFF DIALYSIS,DALLAS,Profit,DAVITA,36,98,179,24.6,136,184,1849,188,1866,147,133,583,187,187,1898,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
452774,DAVITA SHERMAN DIALYSIS CENTER,GRAYSON,Profit,DAVITA,25,99,97,18.2,81,100,819,109,859,91,106,369,109,109,870,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
422553,DCI GAFFNEY,CHEROKEE,Non-Profit,"DIALYSIS CLINIC, INC.",28,96,111,21.2,94,115,1109,121,1150,109,124,416,120,120,1141,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
422556,RAI CARE CENTERS SUMMERVILLE,DORCHESTER,Profit,FRESENIUS MEDICAL CARE,22,99,92,20.9,66,92,852,97,883,77,85,333,97,97,879,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
422557,DAVITA ALLENDALE COUNTY DIALYSIS,ALLENDALE,Profit,DAVITA,21,97,87,35.2,59,89,896,93,898,62,83,322,93,93,907,0,0,As Expected,As Expected,As Expected,Worse than Expected,As Expected,Worse than Expected,As Expected
422560,DCI WEST SPARTANBURG,SPARTANBURG,Non-Profit,"DIALYSIS CLINIC, INC.",25,99,88,28.0,70,92,835,97,868,77,67,308,97,97,870,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
422563,DCI MAGNOLIA COURT,CHARLESTON,Non-Profit,"DIALYSIS CLINIC, INC.",17,95,69,20.6,47,71,661,69,660,56,78,231,71,71,681,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
452718,FMC CROWN OF TEXAS,POTTER,Profit,FRESENIUS MEDICAL CARE,16,97,91,20.6,68,96,820,99,857,77,100,253,101,101,885,0,0,As Expected,As Expected,As Expected,Better than Expected,Worse than Expected,As Expected,As Expected
452719,WEATHERFORD DIALYSIS CENTER,PARKER,Profit,FRESENIUS MEDICAL CARE,20,99,78,17.7,69,95,801,101,846,84,90,325,88,88,714,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
442618,FMC MORRISTOWN,HAMBLEN,Profit,FRESENIUS MEDICAL CARE,30,99,130,26.4,112,161,1481,167,1543,130,155,480,144,144,1311,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
442619,RCG MARTIN,WEAKLEY,Profit,FRESENIUS MEDICAL CARE,16,100,62,15.2,59,71,717,76,745,64,84,257,68,68,634,0,0,As Expected,As Expected,As Expected,As Expected,Better than Expected,Better than Expected,As Expected
442621,FMC MOUNTAIN CITY,JOHNSON,Profit,FRESENIUS MEDICAL CARE,13,98,24,25.4,16,24,233,26,245,20,29,70,26,26,245,0,0,As Expected,Not Available,As Expected,As Expected,As Expected,As Expected,As Expected
442749,"BIO-MEDICAL APPLICATIONS OF TENNESSEE, INC.",UNKNOWN,Profit,FRESENIUS MEDICAL CARE,0,0,0,0,4,10,63,10,62,4,5,4,2,2,5,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
452615,KIDNEY TREATMENT CENTER SAN ANTONIO INC,BEXAR,Profit,INDEPENDENT,30,95,47,42.8,28,52,505,53,522,29,23,173,53,53,523,0,0,As Expected,Worse than Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected
452616,ROSEDALE KIDNEY DISEASE CENTER,BEXAR,Profit,FRESENIUS MEDICAL CARE,20,98,106,29.6,71,109,937,112,963,76,83,287,115,115,986,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
452618,AMERI-TECH KIDNEY CENTER-ARLINGTON LLC,TARRANT,Profit,AMERICAN RENAL ASSOCIATES,22,94,94,28.9,82,126,1153,135,1145,98,136,425,122,122,1083,0,0,As Expected,Worse than Expected,As Expected,Not Available,As Expected,Worse than Expected,As Expected
452619,BAY AREA DIALYSIS CORPUS CHRISTI,NUECES,Profit,FRESENIUS MEDICAL CARE,21,98,135,23.9,89,141,1270,149,1327,105,117,419,147,147,1313,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
452620,BAY AREA DIALYSIS SERVICES AT KINGSVILLE,KLEBERG,Profit,FRESENIUS MEDICAL CARE,21,99,105,26.9,80,111,1061,110,1072,88,104,384,111,111,1092,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
452776,DAVITA FOURTH STREET DIALYSIS,GREGG,Profit,DAVITA,13,98,63,29.1,52,68,624,72,630,62,70,248,72,72,647,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
442668,DAVITA TN SMOKIE MOUNTAIN DIALYSIS PD,WASHINGTON,Profit,DAVITA,2,0,0,25.8,33,52,406,55,436,35,33,150,3,3,30,0,0,As Expected,As Expected,Not Available,Not Available,As Expected,As Expected,As Expected
442669,DAVITA LIVINGSTON TN DIALYSIS,OVERTON,Profit,DAVITA,8,99,35,27.4,26,35,274,35,295,29,23,130,35,35,291,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
442670,DAVITA KNOXVILLE DIALYSIS,KNOX,Profit,DAVITA,25,99,48,33.3,58,68,662,72,681,61,82,266,56,56,516,0,0,As Expected,Worse than Expected,As Expected,As Expected,Worse than Expected,Worse than Expected,As Expected
442671,DAVITA SMYRNA DIALYSIS,RUTHERFORD,Profit,DAVITA,8,99,41,18.1,27,41,329,40,336,27,28,114,40,40,342,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
422664,"DIALYSIS CLINIC, INC.",SPARTANBURG,Profit,"DIALYSIS CLINIC, INC.",13,97,29,25.5,19,30,218,31,235,22,16,61,31,31,235,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
422665,DAVITA FLOWER TOWN HOME TRAINING,DORCHESTER,Profit,DAVITA,4,0,0,18.4,44,63,458,75,518,47,28,101,0,0,0,0,0,As Expected,As Expected,Not Available,Not Available,As Expected,As Expected,As Expected
422666,FRESENIUS KIDNEY CARE FLORENCE MEDICAL MILE,FLORENCE,Profit,FRESENIUS MEDICAL CARE,20,96,75,17.7,63,80,724,82,722,72,82,139,82,82,727,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
422667,DAVITA MARION TOWNE DIALYSIS,MARION,Profit,DAVITA,12,96,24,0,16,25,205,28,219,18,25,32,29,29,227,0,0,As Expected,Not Available,As Expected,As Expected,As Expected,Not Available,As Expected
422668,BLACK CREEK DIALYSIS CENTER,DARLINGTON,Profit,FRESENIUS MEDICAL CARE,16,92,37,34.0,33,39,307,48,345,37,50,51,49,49,359,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
442622,DAVITA LEXINGTON DIALYSIS (TN),HENDERSON,Profit,DAVITA,13,99,45,27.5,38,46,367,51,396,42,45,184,51,51,395,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
442623,DAVITA SUMNER DIALYSIS,SUMNER,Profit,DAVITA,14,93,24,29.7,17,27,217,27,204,22,38,77,24,24,197,0,0,As Expected,Not Available,As Expected,As Expected,As Expected,As Expected,As Expected
442624,RCG TULLAHOMA,COFFEE,Profit,FRESENIUS MEDICAL CARE,17,98,66,16.6,72,101,938,106,983,81,92,302,78,78,665,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
442725,"DIALYSIS CLINIC, INC. - WAVERLY",HUMPHREYS,Non-Profit,"DIALYSIS CLINIC, INC.",17,96,30,21.6,35,41,372,44,396,38,37,138,37,37,316,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
442726,EAST TENNESSEE DIALYSIS CENTER,BLOUNT,Profit,INDEPENDENT,18,0,6,0,3,6,50,6,50,3,4,16,6,6,50,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
452622,DAVITA MIDLAND DIALYSIS,MIDLAND,Profit,DAVITA,21,98,123,26.0,132,154,1359,165,1421,140,124,597,139,139,1197,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
452745,BAYSHORE DIALYSIS CENTER,HARRIS,Profit,FRESENIUS MEDICAL CARE,25,98,153,22.0,106,156,1457,165,1508,114,144,520,168,168,1542,0,0,As Expected,As Expected,Better than Expected,Better than Expected,As Expected,As Expected,As Expected
452747,DAVITA SOUTH SAN ANTONIO DIALYSIS CENTER,BEXAR,Profit,DAVITA,24,100,67,31.6,75,101,878,106,935,83,61,281,75,75,610,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected
452748,RCG PARIS,LAMAR,Profit,FRESENIUS MEDICAL CARE,24,96,69,25.1,88,109,1018,119,1064,100,77,390,81,81,734,0,0,As Expected,As Expected,Worse than Expected,Better than Expected,As Expected,As Expected,As Expected
452749,US RENAL CARE EAST EL PASO DIALYSIS,EL PASO,Profit,"US RENAL CARE, INC.",18,99,105,22.3,87,128,1201,130,1237,97,100,414,115,115,1108,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
442672,DAVITA CLARKSVILLE NORTH DIALYSIS,MONTGOMERY,Profit,DAVITA,13,97,66,27.8,51,74,632,80,660,59,62,300,69,69,561,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
442673,FMC NEW MARKET,JEFFERSON,Profit,FRESENIUS MEDICAL CARE,12,97,54,23.8,44,58,520,66,562,54,95,211,67,67,566,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
452372,CHRISTUS CHILDRENS KIDNEY CENTER,BEXAR,Non-Profit,INDEPENDENT,8,0,4,0,4,4,37,4,39,9,7,38,4,4,39,10,68,As Expected,Not Available,Not Available,Not Available,Not Available,Not Available,As Expected
452374,WILBARGER GENERAL HOSPITAL DIALYSIS OF VERNON,WILBARGER,Non-Profit,INDEPENDENT,10,95,17,18.6,15,17,167,19,165,16,13,90,19,19,175,0,0,As Expected,As Expected,As Expected,Not Available,As Expected,As Expected,As Expected
452378,REEVES COUNTY HOSPITAL DIALYSIS CENTER,REEVES,Non-Profit,INDEPENDENT,15,90,41,25.9,30,41,333,40,252,33,25,130,41,41,335,0,0,As Expected,As Expected,Worse than Expected,As Expected,As Expected,As Expected,As Expected
452379,WISE REGIONAL HEALTH SYSTEM DIALYSIS CENTER,WISE,Non-Profit,INDEPENDENT,24,99,87,24.9,75,111,988,119,1040,93,114,395,107,107,891,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
422669,DAVITA NORTHRIDGE DIALYSIS,UNKNOWN,Profit,DAVITA,15,100,33,12.2,23,34,266,38,286,27,33,39,39,39,290,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
442598,DAVITA HUMBOLDT DIALYSIS,GIBSON,Profit,DAVITA,25,100,79,19.7,65,81,722,85,750,69,65,265,85,85,758,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
442599,DAVITA BROWNSVILLE DIALYSIS,HAYWOOD,Profit,DAVITA,21,100,70,17.0,50,72,654,74,688,57,39,219,71,71,674,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
